"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"335","049770","동원F&B","KOSPI","음식료품",30450,-300,-0.98,587551629000
"336","018500","동원금속","KOSPI","운수장비",1819,7,0.39,85047223127
"337","006040","동원산업","KOSPI","기타금융",32700,-50,-0.15,1519983145500
"338","030720","동원수산","KOSPI","농업, 임업 및 어업",8110,-10,-0.12,37742358550
"339","014820","동원시스템즈","KOSPI","화학",31950,250,0.79,926271459900
"340","014825","동원시스템즈우","KOSPI","화학",22800,250,1.11,6021730800
"341","163560","동일고무벨트","KOSPI","화학",6370,10,0.16,8.8543e+10
"342","004890","동일산업","KOSPI","철강금속",55500,-700,-1.25,134599432500
"343","002690","동일제강","KOSPI","철강금속",1908,12,0.63,38733086880
"344","000020","동화약품","KOSPI","의약품",9990,-140,-1.38,279035385300
"345","000150","두산","KOSPI","기타금융",119000,400,0.34,1966336365000
"346","000157","두산2우B","KOSPI","기타금융",103400,2900,2.89,92340129200
"347","241560","두산밥캣","KOSPI","기계",55700,0,0,5583878546200
"348","034020","두산에너빌리티","KOSPI","기계",17060,-840,-4.69,10927973150760
"349","000155","두산우","KOSPI","기타금융",71800,7000,10.8,286945971600
"350","336260","두산퓨얼셀","KOSPI","전기전자",21800,-1350,-5.83,1427763226800
"351","33626K","두산퓨얼셀1우","KOSPI","전기전자",7470,-290,-3.74,99830574000
"352","33626L","두산퓨얼셀2우B","KOSPI","전기전자",9810,-180,-1.8,29295603000
"353","016740","두올","KOSPI","운수장비",3320,50,1.53,109781377600
"354","192650","드림텍","KOSPI","전기전자",13080,210,1.63,868825462200
"355","024090","디씨엠","KOSPI","철강금속",11750,10,0.09,1.3395e+11
"356","003160","디아이","KOSPI","의료정밀",7410,-50,-0.67,2.09703e+11
"357","092200","디아이씨","KOSPI","운수장비",6330,190,3.09,246164641770
"358","377190","디앤디플랫폼리츠","KOSPI","서비스업",3225,0,0,2.0769e+11
"359","013570","디와이","KOSPI","기타금융",6980,150,2.2,183711038340
